Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
covidtest.gov.mt,5,14,0,3.182005815,1.584962501,3.084962501,1,0.25,0,0,0,1,1
covid19.andersonorui.com.br,8,25,0,3.720175521,3.084962501,3.576617645,0,0.296296296,0,0,0,1,1
covid19contact.jknsarawak.moh.gov.my,10,34,0,4.038909766,1.584962501,3.884155095,1,0.194444444,0,0,0,2,1
covid19.shelbycountytn.gov,7,24,0,3.970175521,3.378783493,3.916126947,1,0.230769231,0,0,0,1,1
coronavirus.tapejara.pr.gov.br,6,28,0,3.609496334,2.405639062,3.471354487,0,0.366666667,0,0,0,1,1
covid.uts.edu.co,6,14,0,3.085055103,1.584962501,3,1,0.25,0,0,0,1,1
covid19.garanhuns.pe.gov.br,9,25,0,4.001822826,2.725480557,3.75,0,0.148148148,0,0,0,1,1
coronavirus.phomenta.com.br,7,25,0,3.720175521,3,3.681880803,0,0.407407407,0,0,0,1,1
cpcontacts.covid.centrodoguilherme.ma.gov.br,10,42,0,3.965301105,3.572469459,3.840018266,0,0.204545455,0,0,0,2,1
coronavirus.uccuyosl.edu.ar,6,25,0,3.490601563,2.5,3.286629487,0,0.407407407,0,0,0,1,1
mail.covid.carutapera.ma.gov.br,10,29,0,3.686419411,2.646439345,3.511085408,0,0.129032258,0,0,0,2,1
cpanel.covid.humbertodecampos.ma.gov.br,10,37,0,3.998652547,3.625,3.930270372,0,0.205128205,0,0,0,2,1
covid19.data.beograd.gov.rs,7,25,0,3.642489673,2.807354922,3.530493057,0,0.259259259,0,0,0,2,1
coronavirus.monocounty.ca.gov,5,27,0,3.430457026,1,3.344456935,1,0.379310345,0,0,0,2,1
covid19hausa.bauchistate.gov.ng,8,29,0,3.878783493,3.095795255,3.653996739,0,0.193548387,0,0,0,1,1
studioespacovida.com.br,6,22,0,3.689703732,3.375,3.375,0,0.260869565,0,0,0,0,1
ideiagovdesafioscovid19.prosas.com.br,13,35,0,3.76042121,2.251629167,3.564540478,1,0.108108108,0,0,0,1,1
emp-prd-gov-1.test-for-coronavirus.service.gov.uk,11,47,1,3.989990676,2.521640636,3.903701696,1,0.224489796,0,0,1,2,1
becacovid.uat.edu.mx,7,18,0,3.499227547,1.584962501,3.251629167,1,0.2,0,0,0,1,1
forcatarefacovid19.brazillab.org.br,10,33,0,3.727217001,2.503258335,3.704349429,0,0.171428571,0,0,0,1,1
www.koronawirus-covid.edu.pl,8,26,1,3.81366069,3.572469459,3.48418372,0,0.214285714,1,0,0,1,1
www.coronavirus.saude.mg.gov.br,7,29,0,3.767183468,2.321928095,3.471354487,1,0.35483871,0,0,0,2,1
covid19.gov.ph,5,13,0,3.251629167,2.807354922,2.807354922,1,0.285714286,0,0,0,0,1
www.quarentenacoronavirus.com.br,8,30,0,3.719375822,3.427333494,3.54248125,0,0.34375,0,0,0,1,1
covidcheckpoint.ucdenver.edu,6,26,0,3.51755943,2.75,3.534219021,1,0.357142857,0,0,0,1,1
covid19.usof.gov.kh,7,17,0,3.577819531,2,3.277613437,0,0.210526316,0,0,0,1,1
covid19.act.gov.au,6,16,0,3.373557262,1.584962501,3.121928095,1,0.222222222,0,0,0,1,1
www.covid.jornalcamacari.com.br,9,29,0,3.485825928,2.950212065,3.390805482,0,0.161290323,0,0,0,2,1
covid.go.gov.br,5,14,0,2.855388542,2.321928095,2.321928095,0,0.266666667,0,0,0,0,1
www.covid19.housing.wisc.edu,8,26,0,3.636842188,2,3.499227542,1,0.25,0,0,0,3,1
www.transparenciacovid19.pa.gov.br,11,32,0,3.923231429,3.68418372,3.762267391,0,0.147058824,0,0,0,1,1
coronavirus.es,2,13,0,3.238901257,3.095795255,3.095795255,0,0.785714286,0,0,0,0,1
www.combatecovid.com.br,6,21,0,3.40869497,3.251629167,3.323231429,0,0.260869565,0,0,0,1,1
sars.org,2,7,0,2.235926351,1.5,1.5,0,0.5,0,0,0,0,1
covid19apps.ssct.edu.ph,8,21,0,3.646439345,1.5,3.323231429,0,0.173913043,0,0,0,1,1
covid-19.galoa.com.br,7,19,1,3.683542362,1.921928095,3.39274741,0,0.19047619,0,0,0,1,1
covid19.stg.colorado.gov,7,22,0,3.458525019,2.405639062,3.503258335,1,0.333333333,0,0,0,2,1
teste.tamborilcontraocoronavirus.com.br,8,37,0,3.596891932,3.455650181,3.587598634,0,0.282051282,0,0,0,1,1
covid19.iku.edu.tr,7,16,0,3.506890596,1.584962501,3.121928095,1,0.222222222,0,0,0,1,1
mail.quizcovid19.pontapora.ms.gov.br,11,34,0,4.131300343,2.503258335,3.90726823,0,0.138888889,0,0,0,2,1
covid.yale.edu,4,12,0,3.251629167,2,3.169925001,1,0.285714286,0,0,0,1,1
covid19.carnaiba.pe.gov.br,9,24,0,3.697845823,2.405639062,3.323231429,0,0.153846154,0,0,0,1,1
covid19.columbiasc.gov,6,20,0,3.646439345,3.121928095,3.572469459,1,0.363636364,0,0,0,1,1
www.coronavirus.alaska.gov,4,24,0,3.501397825,1.79248125,3.38418372,1,0.423076923,0,0,0,2,1
www.covidparnarama.siganet.net.br,11,31,0,3.758867099,2.807354922,3.653107168,0,0.151515152,0,0,0,2,1
www.covid-fixes.nubestaging.com.br,9,32,1,4.123231429,3.095795255,3.94346519,0,0.205882353,0,0,0,2,1
covid-measures.stanford.edu,5,25,1,3.75326969,3,3.788754914,1,0.296296296,0,0,0,1,1
covid19.bos.org.br,6,16,0,3.323231429,1.584962501,3.121928095,0,0.222222222,0,0,0,1,1
covidsangramee.odisha.gov.in,10,26,0,3.59326969,2.584962501,3.58418372,1,0.178571429,0,0,0,1,1
covidcv.iupui.edu,6,15,0,2.872905595,1.521928095,2.688721876,1,0.235294118,0,0,0,1,1
covid19.ssct.edu.ph,7,17,0,3.625,1.5,3.095795255,0,0.210526316,0,0,0,1,1
trackcovid.stanford.edu,5,21,0,3.689703732,3,3.503258335,1,0.347826087,0,0,0,1,1
