Domain,Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
tanggapcorona.com,4,16,0,3.030639062,2.87314068,2.87314068,0,0.352941176,0,0,0,0,0
coronovirus.net,4,14,0,3.182005815,2.845350937,2.845350937,0,0.333333333,1,0,0,0,0
coronaviruscuritiba.com,3,22,0,3.413088436,3.326360408,3.326360408,0,0.47826087,0,0,0,0,0
coronagerm.net,3,13,0,3.085055103,2.921928095,2.921928095,0,0.428571429,0,0,0,0,0
myverizonwirelesscovid19.com,7,27,0,3.856196298,3.855388542,3.855388542,0,0.285714286,0,0,0,0,0
isurvivedthecoronavirus.net,5,26,0,3.584303179,3.555533151,3.555533151,0,0.407407407,0,0,0,0,0
coronavirus.xn--tckwe,5,20,1,3.821928095,3.095795255,3.095795255,0,0.523809524,0,0,0,0,0
covidclaimlawyer.com,5,19,0,3.471354487,3.5,3.5,0,0.3,0,0,0,0,0
vaccineforcovid-19virus.com,7,26,1,3.767183468,3.729446195,3.729446195,0,0.259259259,0,0,0,0,0
covid2020.club,4,13,0,3.238901257,2.725480557,2.725480557,0,0.285714286,0,0,1,0,0
coronavirus.fi,2,13,0,3.238901257,3.095795255,3.095795255,0,0.785714286,0,0,0,0,0
coronavirusreliefdirectory.com,4,29,0,3.689901582,3.628351142,3.628351142,0,0.366666667,0,0,0,0,0
desinfection-coronavirus.store,4,29,1,3.624379702,3.65726823,3.65726823,0,0.366666667,0,0,0,0,0
coronavirus479.com,3,17,0,3.572469459,3.521640636,3.521640636,0,0.611111111,0,0,1,0,0
covidfck.com,4,11,0,2.845350937,2.75,2.75,0,0.25,0,0,0,0,0
covid19sayac.xyz,6,15,0,3.506890596,3.251629167,3.251629167,0,0.25,0,0,0,0,0
statuscovid19.live,5,17,0,3.616874606,3.39274741,3.39274741,0,0.333333333,0,0,0,0,0
covid-19skins.fun,5,16,1,3.625,3.39274741,3.39274741,0,0.294117647,0,0,0,0,0
stopcovid19ua.net,7,16,0,3.75,3.546593564,3.546593564,0,0.235294118,0,0,0,0,0
covidcampaign2020.com,5,20,0,3.48418372,3.499227547,3.499227547,0,0.380952381,0,0,1,0,0
stop-corona-virus.co.uk,5,22,1,3.535174566,3.4548224,3.4548224,0,0.260869565,1,0,0,0,0
covid-19updates.in,5,17,1,3.852168724,3.773557262,3.773557262,0,0.388888889,0,0,0,0,0
covid19naughtymemebook.com,7,25,0,3.97366069,4.061482187,4.061482187,0,0.269230769,0,0,0,0,0
aicoronavirus.com,4,16,0,3.202819531,3.085055103,3.085055103,0,0.647058824,0,0,0,0,0
killcovid19withkindness.info,7,27,0,3.778423503,3.74095326,3.74095326,0,0.285714286,0,0,0,0,0
coronaviruscleaningsouthcarolina.com,5,35,0,3.668728289,3.616729297,3.616729297,0,0.305555556,0,0,0,0,0
covid19preventionkit.com,6,23,0,3.675310869,3.58418372,3.58418372,0,0.416666667,0,0,0,0,0
debt-coronavirus-covid19.com,6,27,1,3.912113891,3.886842188,3.886842188,0,0.392857143,0,0,0,0,0
m-cov2019.live,4,13,1,3.546593564,3.169925001,3.169925001,0,0.285714286,0,0,1,0,0
covid19diseaselawyer.com,6,23,0,3.795088586,3.68418372,3.68418372,0,0.291666667,0,0,0,0,0
covid19tv.net,5,12,0,3.251629167,2.947702779,2.947702779,0,0.307692308,0,0,0,0,0
covidfree.club,4,13,0,3.39274741,2.947702779,2.947702779,0,0.285714286,0,0,0,0,0
pooledcovidtest.com,5,18,0,3.281036113,3.189898095,3.189898095,0,0.315789474,0,0,0,0,0
covid19-dataexchange.com,6,23,1,3.849223912,3.78418372,3.78418372,0,0.333333333,0,0,0,0,0
itscoronavirus.com,3,17,0,3.337175341,3.235926351,3.235926351,0,0.611111111,0,0,0,0,0
covid19raceforthecure.org,8,24,0,3.65726823,3.617809684,3.617809684,0,0.16,0,0,0,0,0
coronavirus.co.za,3,16,0,3.189898095,3.095795255,3.095795255,0,0.647058824,0,0,0,0,0
nycovid19help.com,5,16,0,3.75,3.700439718,3.700439718,0,0.235294118,0,0,0,0,0
covid19indis.org,7,15,0,3.323231429,3.022055209,3.022055209,0,0.25,0,0,0,0,0
stop-coronavirus.shop,3,20,1,3.48418372,3.452819531,3.452819531,0,0.523809524,0,0,0,0,0
nextcovid.gmbh,4,13,0,3.700439718,3.169925001,3.169925001,0,0.285714286,0,0,0,0,0
covid19birthdefectslawyer.com,7,28,0,4.110577243,4.05366069,4.05366069,0,0.24137931,0,0,0,0,0
covid19suppliers.com,5,19,0,3.721611724,3.625,3.625,0,0.45,0,0,0,0,0
quarantinehomeschools.com,4,24,0,3.668295834,3.689703732,3.689703732,0,0.4,0,0,0,0,0
covids19-cdc.org,6,15,1,3.323231429,3.022055209,3.022055209,0,0.25,1,0,0,0,0
covid19pandemicrelief.org,6,24,0,3.855388542,3.748994804,3.748994804,0,0.32,0,0,0,0,0
covid-19sanitize.com,5,19,1,3.787143961,3.702819531,3.702819531,0,0.4,0,0,0,0,0
curacaocovid19.org,6,17,0,3.292770194,3.182005815,3.182005815,0,0.222222222,0,0,0,0,0
